date,cost
1/1/15,0
1/2/15,0
1/3/15,0
1/4/15,0
1/5/15,0
1/6/15,0
1/7/15,0
1/8/15,0
1/9/15,0
1/10/15,0
1/11/15,0
1/12/15,0
1/13/15,0
1/14/15,0
1/15/15,0
1/16/15,0
1/17/15,0
1/18/15,0
1/19/15,0
1/20/15,0
1/21/15,0
1/22/15,0
1/23/15,0
1/24/15,0
1/25/15,0
1/26/15,0
1/27/15,0
1/28/15,0
1/29/15,0
1/30/15,0
1/31/15,0
2/1/15,0
2/2/15,0
2/3/15,0
2/4/15,0
2/5/15,0
2/6/15,0
2/7/15,0
2/8/15,0
2/9/15,0
2/10/15,0
2/11/15,0
2/12/15,0
2/13/15,0
2/14/15,0
2/15/15,0
2/16/15,0
2/17/15,0
2/18/15,0
2/19/15,0
2/20/15,0
2/21/15,0
2/22/15,0
2/23/15,0
2/24/15,0
2/25/15,0
2/26/15,0
2/27/15,0
2/28/15,0
3/1/15,0
3/2/15,0
3/3/15,0
3/4/15,0
3/5/15,0
3/6/15,0
3/7/15,0
3/8/15,0
3/9/15,0
3/10/15,0
3/11/15,0
3/12/15,0
3/13/15,0
3/14/15,0
3/15/15,0
3/16/15,0
3/17/15,0
3/18/15,0
3/19/15,0
3/20/15,0
3/21/15,0
3/22/15,0
3/23/15,0
3/24/15,0
3/25/15,0
3/26/15,0
3/27/15,0
3/28/15,0
3/29/15,0
3/30/15,0
3/31/15,0
4/1/15,0
4/2/15,0
4/3/15,3640
4/4/15,2850
4/5/15,10760
4/6/15,980
4/7/15,7360
4/8/15,28020
4/9/15,51570
4/10/15,54920
4/11/15,37970
4/12/15,53200
4/13/15,14560
4/14/15,18160
4/15/15,14330
4/16/15,13480
4/17/15,11370
4/18/15,10460
4/19/15,11200
4/20/15,9440
4/21/15,5990
4/22/15,7350
4/23/15,11310
4/24/15,17940
4/25/15,8280
4/26/15,11470
4/27/15,17610
4/28/15,26650
4/29/15,15380
4/30/15,18900
5/1/15,26880
5/2/15,10680
5/3/15,15550
5/4/15,29330
5/5/15,29480
5/6/15,50690
5/7/15,63020
5/8/15,76670
5/9/15,29230
5/10/15,40790
5/11/15,82690
5/12/15,20780
5/13/15,0
5/14/15,10300
5/15/15,10570
5/16/15,1440
5/17/15,32190
5/18/15,8110
5/19/15,13690
5/20/15,5290
5/21/15,11520
5/22/15,10110
5/23/15,690
5/24/15,2670
