issue,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
TAXES,52710.67717,0,0,0,25.66666667,15,46.66666667,101.5,34.91666667,670.052381,2007.647619,1062.309524,24.63636364,476.2954823,706.554304,817.4714286,772.3809524,2107.361111,2392.734127,2386.302381,3878.197367,10166.62262,16600.9746,8416.720238,0.666666667
OBAMA,18925.00247,0,0,5.5,145.3333333,0,284.8333333,693.8333333,270,275.202381,607.8809524,327.9095238,832.6863636,790.1157204,1119.833669,642.2746337,1040.000397,586.6706349,655.2626984,726.0888889,1720.286111,1439.02549,3734.430084,3027.692064,0.142857143
FOREIGN AFFAIRS,23154.47441,0,0,5.5,119.6666667,0,9.333333333,567.5,160,213.35,101.5,943.1,2088.236364,1579.01453,1746.788034,1860.025,446.0166667,138,992.3333333,2848,1060.886111,1014.532633,5334.211975,1926.336905,0.142857143
UN/EMPLOYMENT,35168.28469,0,0,0,25.66666667,0,642.1666667,620.0833333,745,1142.95,993.5833333,802.5,129.6333333,689.7833333,556.4813492,1362.153571,1271.886905,1771.488095,4934.069048,3934.738095,2449.453319,2993.485014,6984.247942,3118.914683,0
IMMIGRATION,13790.62864,0,0,0,25.66666667,0,1058.666667,805.5,1,0,14.33333333,168.547619,16.43636364,1061.906197,327.4058913,843.3293956,322.3142857,175.0714286,82.67857143,537.7388889,963.2380952,2061.292857,4168.637302,1156.865079,0
HEALTHCARE,29619.48223,0,0,0,0,0,0,276.9666667,298.6,72.95238095,202.6309524,420.9761905,253.5363636,537.0740537,1043.29359,963.507967,1775.23373,1146.103968,1187.112698,1350.755556,2327.69881,4455.121919,8875.677704,4432.239683,0
GUNS,11415.62381,0,0,0,0,0,0,142,0,0,14.33333333,0,175.7,143.7061966,662.8146215,616.0067766,1101.353571,170.8214286,133.4880952,417.8888889,1393.515224,2220.547619,3491.95303,731.4950216,0
FAITH,5341.303621,0,0,0,29.16666667,99,638.6666667,332.3333333,135,901.6666667,238.3333333,328.5,69.88636364,294.9722222,228.4305556,116.6615385,0,0,53.5,0,0,1262.892157,483.727451,128.5666667,0
SOCIAL SECURITY,15405.61547,0,0,0,0,0,0,0,13.6,54,55.6,42.83333333,0,0,0,0,1022.644444,128.25,994.0833333,2436.683333,2710.443254,3501.663095,2573.353968,1872.460714,0
ENERGY,16776.19794,0,0,0,0,0,0,358,9.25,1853.416667,41.1,15.5,384.6666667,136.5,186.7333333,96.66190476,226.3313492,469.015873,704.6555556,1047.069048,816.0056999,2152.42381,5915.203968,2363.664069,0
ENVIRONMENT,16776.19794,0,0,0,0,0,0,358,9.25,1853.416667,41.1,15.5,384.6666667,136.5,186.7333333,96.66190476,226.3313492,469.015873,704.6555556,1047.069048,816.0056999,2152.42381,5915.203968,2363.664069,0
DEFENSE,15660.102,0,0,0,29.16666667,0,0,85.8,112.75,88.5,76,453.7666667,549.4333333,187.125,429.2972222,321.375,410.1416667,32,1917.642857,2820.474603,814.0111111,2226.07549,4319.267386,787.275,0
EDUCATION,18552.02699,0,0,0,0,0,0,0,14.6,188.85,309.25,490.3333333,17,647.1865079,286.627381,2404.166667,711,56,680.0833333,628.652381,353.6214286,2877.202381,7049.836905,1834.616667,3
ECONOMY,50789.13519,0,0,0,0,15,72.66666667,767.3833333,71.76666667,1002.533333,998.2666667,479.8809524,28.3030303,733.9403236,1369.520574,834.0115385,1181.164286,1465.527778,2988.89127,3971.19127,4207.496429,7778.310014,16573.05072,6249.563672,0.666666667
