state,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
Alabama,0.99765625,,,,,,,,,,,,1,1,1,1,,,,,,0,0.5,0.994708995,
Alaska,0.5,,,,,,,,,,,1,,,,,,,,,,0,,,
Arizona,0.559876412,,,,,,,1,,,,0,,,1,1,,0.902777778,0.98902439,0,0.972576832,0.229649841,0.269873624,0.356374808,
Arkansas,0.896522477,,,,,,,,,,,,,,1,1,1,,,,,,0,0,
California,0.22215256,,,,,,,,,,,0,,,,,,0.196285141,0.355025307,0,0,0.111720698,0.222171678,0.320213985,
Colorado,0.378939896,,,,,,,,0,0,,0,0.025445293,,0,0.859375,1,,0.198924731,0.59086994,0,0.263349515,0.428343441,0.235220519,1
Connecticut,1,,,,,,,,,,,,,,,,1,,,,,,,,
Delaware,0,,,,,,,,,,,,,,,,,,,,0,0,,,
Florida,0.588112582,,,,,,,,,,,0,,,1,1,1,0.000759878,0.00790378,0.639632648,0.567411591,0.472831766,0.531389136,0.582472311,1
Georgia,0.789796882,,,,,,,,,,,0.5,,,1,1,,,1,1,,,0.339285714,0.284796574,
Hawaii,1,,,,,,,,,,,,,,,1,,,,,,,,,
Idaho,1,,,,,,,,,,,,,,1,1,,,,,,,,1,
Illinois,0.71406434,,,,,,1,0.358284272,,,,0.5,,1,0.67921147,0.87764799,,,,1,1,1,0.475329751,0.372222222,
Indiana,0.572129849,,,,,,,,,,,,1,1,1,1,1,1,,0.34141791,0.737472549,0.57322914,0.459440025,0.474573544,
Iowa,0.687864632,,,,0.590214067,1,0.984899962,0.985221675,1,1,0.960037175,1,1,1,0.907657658,0.525454545,1,0,0,0,0,0.16969697,0.399567297,0.590810977,
Kansas,0.727853152,,,,,,,,,,,,1,1,,,,,,1,1,,0.087932647,0.315196998,
Kentucky,0.713239436,,,,,,,,,,,,,,,1,1,1,1,,,,0.574324324,0,
Louisiana,0.893920029,,,,,,,,,,,,,,1,1,,,1,,0,0.937086093,0.975339708,0.935128519,0.851239669
Maine,0.46432553,,,,,,,,,,,,,,,,,,1,1,0,0.454175153,0.46493576,0.631100083,
Maryland,0.101289135,,,,,,,,,,,,0,0,,0,0.071104915,,,,,1,1,,
Massachusetts,0.921559454,,,,1,,,1,1,1,1,1,1,1,1,,,,0,0,0,0,0,0.02739726,
Michigan,0.673001446,,,,,,,,,,,,,,1,1,1,1,1,,,1,0.737334373,0.212389381,
Minnesota,0.314149762,,,,,,,,,,,,,,,,,,,,0,0.166633125,0.374768946,0.379197379,
Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,0.447338224,,,,,,,,,,1,,,1,1,0.871710526,,,1,1,1,0.463133641,0.356745793,0.339734334,
Montana,0,,,,,,,,,,,,,,,,,,,,,,0,0,
Nebraska,0.52654341,,,,,,,,,,,,,1,1,,0,0,,,0,0.512018314,0.582116788,0.58369851,
Nevada,0.471554005,,,,1,,,1,0,0,1,0.877419355,,,0.650700935,0.936948298,1,0.421940928,0.593565927,0.404366113,0.466820421,0.429497829,0.438934741,0.489192918,
New Hampshire,0.41917969,,,,,0,1,,0.6015625,0.514285714,1,1,,,,0.648734177,0.052631579,0.892944039,0.574245473,0.398051948,0.32166065,0.476241901,0.34682377,0.300165837,
New Jersey,0,,,,,,,,,,,,,,,,,,,,,,,0,
New Mexico,0.5,,,,,,,,0,,,,,,,,,,,,,,,0.666666667,
New York,0.441327205,,,1,,,,,,,,0,,,,,,1,1,,,0.138046334,0.424847773,0.586820084,
North Carolina,0.328704993,,,,,,,,,,,,,,1,,,1,0.252074689,0.245021123,0.37565884,0.372301722,0.251817174,0.392187829,
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,0.548953483,,,,,,,1,0.998659517,0.478658537,0.995708155,1,1,1,0.386548411,0.762941333,0.561565017,0.626570916,0.517165937,0.503167354,0.589988603,0.451935696,0.433018004,0.703110273,
Oklahoma,1,,,,,,,,,,,,,,1,1,,,,,,,,,
Oregon,1,,,,,,,,,,,,,,,,1,1,,,,,,,
Pennsylvania,0.429566758,,,,,,,1,0.921336207,0.235135135,,,,,1,0.469827586,0.066762531,0.335694051,0.638081395,0.313376168,0.428805877,0.425786883,0.424599539,0.465733919,
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,
South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,0.577521102,,,,,,,,,,,,,,1,1,,0,0,0.030612245,1,,,,
Texas,0.407674277,,,,,,,,,,,0,,,0.915010281,0.991071429,,,,,,0.273828756,0.357338195,0.263182674,
Utah,0.71201496,,,,,,,,,,,,,,0,0.929530201,,,,,,,0.353909465,0.795275591,
Vermont,0.953951277,,,,,,,,,1,1,1,1,1,1,1,,,,,,,0,0.428571429,1
Virginia,0.404882868,,,,,,,,,,,,,,1,1,,0,0.006545821,0.214442013,,1,0.542299724,0.576772934,
Washington,0,,,,,,,,,,,0,,,,,,,,,,,,0,
West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,0.687881356,,,,,,,1,0.774193548,0.142815335,1,1,,,1,1,1,1,1,0,0.584121761,1,0.852921056,0.524847653,
Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,
