state,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
Alabama,2492040,0,0,0,0,0,0,0,0,0,0,0,500,129510,1320250,901360,0,0,0,0,0,1280,9960,129180,0
Alaska,2190,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2170,0,0,0
Arizona,10094350,0,0,0,0,0,0,474680,0,0,0,13360,0,0,65590,877530,0,57200,1021590,10150,1902010,1908110,2334800,1429330,0
Arkansas,1074740,0,0,0,0,0,0,0,0,0,0,0,0,0,740990,213940,33340,0,0,0,0,0,28730,57740,0
California,16204770,0,0,0,0,0,0,0,0,0,0,71870,0,0,0,0,0,532580,264640,1562050,721690,663640,9348630,3039670,0
Colorado,20416850,0,0,0,0,0,0,0,660,34560,0,481860,428590,0,351590,715820,680170,0,1665020,1093370,472380,1208370,9637680,3646660,120
Connecticut,88910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88910,0,0,0,0,0,0,0,0
Delaware,63120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8990,54130,0,0,0
Florida,106338430,0,0,0,0,0,0,0,0,0,0,181210,0,0,1746250,22011100,4100,2415210,4227890,9853470,8329570,16495220,24902250,16168790,3370
Georgia,7566890,0,0,0,0,0,0,0,0,0,0,14740,0,0,3771060,258520,0,0,96770,1674220,0,0,1051820,699760,0
Hawaii,201210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201210,0,0,0,0,0,0,0,0,0
Idaho,193390,0,0,0,0,0,0,0,0,0,0,0,0,0,56640,136680,0,0,0,0,0,0,0,70,0
Illinois,36025090,0,0,0,0,0,2090,5915420,0,0,0,24640,0,264530,247210,10175510,0,0,0,38280,621770,258370,13029330,5447940,0
Indiana,41399350,0,0,0,0,0,0,0,0,0,0,0,1340,67930,211410,712530,5513460,1679180,0,595030,2220380,5095750,15931660,9370680,0
Iowa,37372590,0,0,0,92780,62820,443500,2294440,254710,3722180,2907160,1866110,3437310,6582090,463280,775420,199660,113700,1079360,711040,733320,2291640,5200200,4141870,0
Kansas,3097060,0,0,0,0,0,0,0,0,0,0,0,2260,2260,0,0,0,0,0,1352300,221150,0,632680,886410,0
Kentucky,1347360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231360,178300,170880,4260,0,0,0,699480,63080,0
Louisiana,5463520,0,0,0,0,0,0,0,0,0,0,0,0,0,179030,218120,0,0,273440,0,204000,336000,2162510,1837770,252650
Maine,2202470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430,46140,125100,290510,1050020,687270,0
Maryland,8306820,0,0,0,0,0,0,0,0,0,0,0,808240,241620,0,2262610,3961350,0,0,0,0,752920,280080,0,0
Massachusetts,47837450,0,0,0,4240,0,0,3675620,1001150,3874740,4080320,4898460,9164530,13318870,6204050,0,0,0,78570,48310,50680,88350,1288660,60900,0
Michigan,5640270,0,0,0,0,0,0,0,0,0,0,0,0,0,258740,2150860,6810,4160,920,0,0,70890,1935270,1212620,0
Minnesota,20461090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319250,3302600,12089230,4750010,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,27936080,0,0,0,0,0,0,0,0,0,733430,0,0,479760,72670,2249020,0,0,1404740,157130,635950,4726460,12174280,5302640,0
Montana,248000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99860,148140,0
Nebraska,5014040,0,0,0,0,0,0,0,0,0,0,0,0,403540,6650,0,88630,100680,0,0,85920,992890,1859520,1476210,0
Nevada,71208480,0,0,0,93600,0,0,471540,960,9410,657390,777500,0,0,2035710,375200,339630,3138620,3723130,3523590,4294820,12316010,23368120,16083250,0
New Hampshire,80860290,0,0,0,0,4110,186290,0,36020,38960,700410,81000,0,0,0,1302660,76850,957080,6612160,4280600,8293820,20906730,27837540,9546060,0
New Jersey,458480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458480,0
New Mexico,4200,0,0,0,0,0,0,0,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440,0
New York,5748100,0,0,18220,0,0,0,0,0,0,0,44730,0,0,0,0,0,66400,405630,0,0,934360,2531280,1747480,0
North Carolina,44294040,0,0,0,0,0,0,0,0,0,0,0,0,0,926380,0,0,800040,1023770,1118740,4139710,6248470,17774650,12262280,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,53202720,0,0,0,0,0,0,192710,917170,2068110,404390,831020,2750,744260,1255730,4576500,1399990,5254930,7266650,7587890,8063440,4100430,7244380,1292370,0
Oklahoma,1304880,0,0,0,0,0,0,0,0,0,0,0,0,0,1151010,153870,0,0,0,0,0,0,0,0,0
Oregon,33580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,32280,0,0,0,0,0,0,0
Pennsylvania,122688040,0,0,0,0,0,0,625210,1489930,5985430,0,0,0,0,1215540,2589000,6472610,5001470,8030240,4766360,6705720,18258320,37852250,23695960,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,3965570,0,0,0,0,0,0,0,0,173880,514560,592240,183770,750480,1750640,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,1863700,0,0,0,0,0,0,0,0,0,0,0,0,0,1186040,118580,0,164010,277790,82690,34590,0,0,0,0
Texas,13222730,0,0,0,0,0,0,0,0,0,0,82370,0,0,4181460,239310,0,0,0,0,0,743990,5171280,2804320,0
Utah,1705200,0,0,0,0,0,0,0,0,0,0,0,0,0,168250,823950,0,0,0,0,0,0,154680,558320,0
Vermont,3890050,0,0,0,0,0,0,0,0,163010,226370,581340,413810,1345150,983670,3210,0,0,0,0,0,0,97240,75980,270
Virginia,20998750,0,0,0,0,0,0,0,0,0,0,0,0,0,278850,14890,0,703050,1233640,695220,0,98710,10721090,7253300,0
Washington,515580,0,0,0,0,0,0,0,0,0,0,385120,0,0,0,0,0,0,0,0,0,0,0,130460,0
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
