issue,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
100,78218,0,0,0,98,12,1240,311,95,398,240,169,135,559,628,655,838,1948,3204,4797,6964,10619,31614,13629,65
200,107789,0,0,0,101,25,691,591,86,499,463,293,285,1111,1332,1806,1586,2042,5527,7758,10918,16969,39711,15844,151
300,89093,0,0,0,80,40,221,437,239,754,578,435,500,1646,2164,2824,1810,2106,4625,6083,8374,12736,31239,12093,109
400,72158,0,0,0,56,14,122,330,116,451,538,540,549,1730,2119,2303,1615,1322,3333,4605,6561,11849,23719,10223,63
500,60949,0,0,0,15,18,76,400,169,550,489,521,716,1040,1753,2236,1451,1348,2853,4023,5638,8908,20148,8533,64
700,91029,0,0,0,62,13,173,745,345,1301,714,724,1075,1986,2672,3824,2310,1899,5428,6804,7954,13425,27069,12469,37
1000,91717,0,0,0,32,8,119,689,294,1522,892,796,1027,1513,3002,4868,2190,2245,5206,5869,7718,13944,27068,12656,59
1500,89475,0,0,0,24,8,92,647,342,1335,1068,1081,1043,1589,3033,5606,2979,2330,5057,5210,6098,11980,26793,13131,29
2500,73366,0,0,0,27,6,82,811,517,1756,1043,1045,1204,2168,3143,6160,2967,1994,3591,3105,3978,8288,19944,11518,19
800000,70392,0,0,0,11,1,25,1725,466,1950,1150,1286,1613,2061,2717,5443,1651,2023,3145,2497,3286,7247,19491,12586,18
