state,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
Alabama,0.583333333,,,,,,,,,,,,,,,,,,,,,1,0.75,0,
Alaska,0,,,,,,,,,,,,,,,,,,,,,0,,,
Arizona,0.024313281,,,,,,,,,,,0,,,,,,0,0,0,0,0.191556396,0,0.002949853,
Arkansas,0,,,,,,,,,,,,,,,,,,,,,,0,0,
California,0.274685041,,,,,,,,,,,0,,,,,,0.754280279,0.433844011,0,0.410636443,0,0.241059369,0.357660228,
Colorado,0.259961293,,,,,,,,0,0,,0.930232558,1,,0.779310345,0,,,0,0,0,0.245212323,0.061866316,0.102913969,
Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1,,,,,,,,,,,,,,,,,,,,1,1,,,
Florida,0.085405014,,,,,,,,,,,0,,,,,,0,0,0.236624776,0.224163028,0.038014981,0.07638106,0.108056266,
Georgia,0,,,,,,,,,,,0,,,,,,,,,,,0,0,
Hawaii,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,0.191896222,,,,,,,0.000655308,,,,0,,,0.5,0.650722022,,,,,,,0,0,
Indiana,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
Iowa,0.181090202,,,,,,0.5,0,,,0.5,,,,,0,,0.861344538,0.04995905,0,0,0.078585791,0.002102848,0,
Kansas,,,,,,,,,,,,,,,,,,,,,,,0,0,
Kentucky,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,
Louisiana,0.828125,,,,,,,,,,,,,,,,,,,,1,,1,0.8125,0.5
Maine,0.150279716,,,,,,,,,,,,,,,,,,,,0.460504202,0,0.068034017,0.072580645,
Maryland,0.953947369,,,,,,,,,,,,1,1,,1,0.815789474,,,,,,,,
Massachusetts,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
Michigan,,,,,,,,,,,,,,,,,,,,,,,0,0,
Minnesota,0.052046696,,,,,,,,,,,,,,,,,,,,0,0,0.062630636,0.145556147,
Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,0.152662415,,,,,,,,,,,,,,,0,,,,,,0.239367928,0.125163127,0.246118605,
Montana,0,,,,,,,,,,,,,,,,,,,,,,0,0,
Nebraska,0.324367844,,,,,,,,,,,,,,,,0,0,,,1,0.600860047,0.153225806,0.192121212,
Nevada,0.082767547,,,,,,,,0,0,,0,,,0.762541806,0,,0.0331785,0.053457292,0,0,0,0.073346609,0.070686355,
New Hampshire,0.042212796,,,,,0,,,0,0,,,,,,0,0,0,0.305555556,0.131374723,0,0,0.069623271,0,
New Jersey,0,,,,,,,,,,,,,,,,,,,,,,,0,
New Mexico,0.25,,,,,,,,0,,,,,,,,,,,,,,,0.5,
New York,0,,,,,,,,,,,0,,,,,,,,,,0,0,0,
North Carolina,0.007236126,,,,,,,,,,,,,,,,,,0,0,0,0.028557599,0.002794533,0.012064624,
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,0.085173642,,,,,,,,0,0,,,,,0.5,0.236332574,0,0,0.13282088,0.022818792,0.010400531,0.001246494,0.001923077,0.116541353,
Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,0.185393909,,,,,,,,0,0,,,,,,1,0.683919487,0,0.134366485,0,0.065905338,0.096390924,0.029599423,0.029151342,
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
Texas,,,,,,,,,,,,0,,,0.467741935,,,,,,,0.262513904,0.153882688,0.101886792,
Utah,,,,,,,,,,,,,,,0,0,,,,,,,0.468152866,0.327586207,
Vermont,0,,,,,,,,,,,,,,,,,,,,,,0,0,
Virginia,,,,,,,,,,,,,,,,,,0,0,0,,,0.000377216,0.260966876,
Washington,,,,,,,,,,,,1,,,,,,,,,,,,0.5,
West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,0.096398229,,,,,,,,0,0,,,,,,,,,,0,0,,0.573488372,0.004901,
Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,
