state,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
Alabama,11970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,7280,3410,0
Alaska,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2170,0,0,0
Arizona,3420830,0,0,0,0,0,0,0,0,0,0,13360,0,0,0,0,0,3920,1160,10150,6540,1189320,1487860,708520,0
Arkansas,73910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28730,45180,0
California,12198920,0,0,0,0,0,0,0,0,0,0,71870,0,0,0,0,0,442560,170020,1562050,686510,636800,6927480,1701630,0
Colorado,12475500,0,0,0,0,0,0,0,660,34560,0,481860,414850,0,351590,69590,0,0,1481580,535100,472380,878040,5309170,2446120,0
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,57130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8990,48140,0,0,0
Florida,42894340,0,0,0,0,0,0,0,0,0,0,181210,0,0,0,0,0,2410870,4086720,3292610,4350260,9614540,13164650,5793480,0
Georgia,1188580,0,0,0,0,0,0,0,0,0,0,13560,0,0,0,0,0,0,0,0,0,0,741950,433070,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,19497840,0,0,0,0,0,0,4788250,0,0,0,15020,0,0,68240,243810,0,0,0,0,0,0,10600000,3782520,0
Indiana,12585090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268430,293650,1540590,7257730,3224690,0
Iowa,9759360,0,0,0,0,0,15010,37470,0,0,136590,0,0,0,0,272200,0,113700,1066400,710920,733320,2118700,3292860,1262190,0
Kansas,482910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328840,154070,0
Kentucky,387440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324360,63080,0
Louisiana,300450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204000,0,9400,58880,28170
Maine,1112410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125100,178410,660190,148710,0
Maryland,6763170,0,0,0,0,0,0,0,0,0,0,0,779740,231610,0,2218470,3533350,0,0,0,0,0,0,0,0
Massachusetts,1603800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78570,48310,50680,86940,1288300,51000,0
Michigan,925300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148050,777250,0
Minnesota,11591980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319250,2360110,6582430,2330190,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,10633150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250050,0,0,0,0,0,2033430,5877620,2472050,0
Montana,225580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99860,125720,0
Nebraska,2100740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88630,90470,0,0,85920,542130,862670,430920,0
Nevada,33433190,0,0,0,0,0,0,0,960,9410,0,24460,0,0,519200,41950,0,2066350,1448420,2061010,2338450,6708400,12010890,6203690,0
New Hampshire,37844280,0,0,0,0,4110,0,0,14480,19540,0,0,0,0,0,383510,48410,67070,2718880,2890400,6446620,7844360,12564200,4842700,0
New Jersey,458480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458480,0
New Mexico,1780,0,0,0,0,0,0,0,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
New York,3552090,0,0,0,0,0,0,0,0,0,0,44730,0,0,0,0,0,0,0,0,0,839660,1464710,1202990,0
North Carolina,22764790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869530,854790,2163030,3316950,10721700,4838790,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,24087520,0,0,0,0,0,0,0,1000,969740,0,0,0,0,692640,1014250,590730,2456930,3933810,4012560,3560270,2353970,4027560,474060,0
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,63913860,0,0,0,0,0,0,0,168950,5670340,0,0,0,0,0,1414720,6079640,3611510,2725270,3127200,3638590,9091810,18868420,9517410,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,517920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164010,273110,80800,0,0,0,0,0
Texas,5873900,0,0,0,0,0,0,0,0,0,0,82370,0,0,598420,0,0,0,0,0,0,527090,3021440,1644580,0
Utah,320770,0,0,0,0,0,0,0,0,0,0,0,0,0,168250,45120,0,0,0,0,0,0,62300,45100,0
Vermont,129300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97240,32060,0
Virginia,9236590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703050,1188150,547360,0,0,4346940,2451090,0
Washington,515580,0,0,0,0,0,0,0,0,0,0,385120,0,0,0,0,0,0,0,0,0,0,0,130460,0
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,12194340,0,0,0,0,0,0,0,18630,2929420,0,0,0,0,0,0,0,0,0,286060,702890,0,628600,7628740,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
