state,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
Alabama,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0
Alaska,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Arizona,3923,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,8,150,53,1587,1776,339,0
Arkansas,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,53,0
California,28671,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1577,718,1858,1147,1781,17029,4556,0
Colorado,12743,0,0,0,0,0,0,0,1,18,0,473,383,0,290,45,0,0,1341,949,554,1201,5326,2162,0
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,41,0,0,0
Florida,35510,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,1315,2763,2785,3435,8010,12418,4692,0
Georgia,1224,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,666,557,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,4365,0,0,0,0,0,0,763,0,0,0,1,0,0,179,554,0,0,0,0,0,0,2148,720,0
Indiana,22947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,1123,3386,11915,5464,0
Iowa,13975,0,0,0,0,0,40,25,0,0,129,0,0,0,0,522,0,238,1221,949,1540,2984,5231,1096,0
Kansas,1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,551,0
Kentucky,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,68,0
Louisiana,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,40,40,84
Maine,3751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,785,1999,372,0
Maryland,5175,0,0,0,0,0,0,0,0,0,0,0,777,289,0,1563,2546,0,0,0,0,0,0,0,0
Massachusetts,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,107,72,126,499,70,0
Michigan,1528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,1191,0
Minnesota,13106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,4016,6698,1879,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,15116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,2563,8429,3929,0
Montana,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,407,0
Nebraska,4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,269,0,0,228,1279,1364,825,0
Nevada,42402,0,0,0,0,0,0,0,1,8,0,38,0,0,598,43,0,1507,1721,2933,4968,10356,16572,3657,0
New Hampshire,15286,0,0,0,0,16,0,0,51,51,0,0,0,0,0,222,113,44,1008,902,1879,3323,6291,1386,0
New Jersey,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
New Mexico,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
New York,10315,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3609,5346,1359,0
North Carolina,32580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,1251,2606,5165,18071,4766,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,28511,0,0,0,0,0,0,0,1,855,0,0,0,0,830,878,366,1648,5594,6705,4519,3209,3640,266,0
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,59091,0,0,0,0,0,0,0,73,1132,0,0,0,0,0,615,4521,1392,2936,4595,7268,11194,18024,7341,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,441,285,0,0,0,0,0
Texas,6563,0,0,0,0,0,0,0,0,0,0,4,0,0,124,0,0,0,0,0,0,899,4211,1325,0
Utah,592,0,0,0,0,0,0,0,0,0,0,0,0,0,240,50,0,0,0,0,0,0,157,145,0
Vermont,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,48,0
