issue,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
100,29644,0,0,0,52,20,1295,221,69,69,245,137,121,527,523,462,342,654,1723,2091,3348,3488,10448,3748,61
200,41797,0,0,0,63,22,614,528,70,152,443,238,268,1077,910,1336,770,813,2592,3198,5098,5674,12751,5052,128
300,36485,0,0,0,66,18,228,404,182,245,533,304,312,1458,1552,1860,956,855,2177,2310,3738,4156,11032,4004,95
400,31193,0,0,0,23,4,83,302,99,215,480,464,330,1335,1787,1721,752,614,1248,1752,3022,4421,8609,3886,46
500,27619,0,0,0,15,16,66,367,158,205,499,372,332,938,1393,1653,949,682,1154,1654,2802,3404,7633,3282,45
700,43149,0,0,0,34,17,131,717,323,611,643,561,751,1598,1993,2952,1418,969,2528,2946,3671,5133,10895,5224,34
1000,45756,0,0,0,30,12,81,657,264,752,799,646,755,1445,2408,3649,1214,1183,2174,2655,3741,6083,11620,5536,52
1500,46462,0,0,2,21,5,67,585,306,751,1025,943,823,1553,2662,4612,1690,1029,2059,2491,2963,5316,11780,5753,26
2500,39992,0,0,4,14,7,52,696,486,990,898,928,944,1953,2902,4860,1442,1072,1322,1582,1631,3700,9101,5395,13
800000,39711,0,0,2,8,1,14,1191,410,1236,999,1117,1480,2064,2550,4431,712,954,1439,1274,1173,3501,9135,6014,6
