issue,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
TAXES,31709.93487,0,0,0,0,15,46.66666667,101,25.66666667,661.552381,1970.647619,1027.72619,14.3030303,476.2954823,688.7946886,778.8571429,705.1309524,1634.777778,1872.309524,1217.466667,2509.875,4853.52381,8907.359127,4202.315476,0.666666667
OBAMA,24160.49126,0,0,4,119.6666667,0,284.8333333,690.5,257,313.8690476,712.2142857,384.552381,834.1227273,1156.717552,1498.806838,994.9468864,1132.195238,721.9246032,1086.069048,1283.677778,2346.627778,2099.25098,3796.404217,4442.969048,0.142857143
INTERNATIONAL,18303.41519,0,0,4,119.6666667,0,9.333333333,564.1666667,147,205.75,101.5,939.1,1983.336364,1530.56453,1693.847863,1777.333333,446.0166667,114.0833333,30.33333333,390.5,836.1527778,748.9326331,5058.392927,1603.261905,0.142857143
JOBS/UNEMPLOYMENT,54712.83893,0,0,0,0,0,1284.333333,1229.166667,1490,2119.7,1923.166667,1570.833333,101.6,1216.555556,1024.765079,2100.840476,1790.952381,3053.97619,7854.733333,7375.1,4224.542857,4067.170028,8272.605407,4012.797619,0
IMMIGRATION,12922.47932,0,0,0,0,0,1058.666667,744.5,0,0,0,159.0952381,32.87272727,2123.812393,441.7766789,1340.239744,489.2119048,157.8095238,90.08333333,350.3111111,1081.27619,1564.5,2567.157143,721.1666667,0
HEALTHCARE,27372.00357,0,0,0,0,0,0,276.9666667,285,145.9047619,336.6785714,167.1190476,155.6727273,949.9846154,1468.182234,1646.120696,1286.795238,1243.674603,1399.002381,1241.644444,2791.583333,2325.167647,5472.21255,6180.294048,0
GUNS,6878.288073,0,0,0,0,0,0,142,0,0,0,0,0,68.95619658,234.5494505,229.3567766,124.3261905,161.8214286,114.3511905,396.3888889,771.5444444,1554.766667,2781.619697,298.6071429,0
FAITH,3859.773065,0,0,0,29.16666667,99,615.6666667,321.6666667,135,901.6666667,174.6666667,328.5,69.88636364,294.4722222,223.5,78.26153846,0,0,53.5,0,0,180.3921569,287.727451,66.7,0
SOCIAL SECURITY,1033.075,0,0,0,0,0,0,0,0,54,49.93333333,42.83333333,0,0,0,0,0,0,0,0,76.375,55.33333333,256.2857143,498.3142857,0
ENERGY,32599,0,0,0,0,0,0,825,0,135,188,310,20,941,386,990,1116,2026,2266,525,1416,4963,11579,4913,0
ENVIRONMENT,32537,0,0,0,0,0,0,825,0,135,188,248,20,941,386,990,1116,2026,2266,525,1416,4963,11579,4913,0
DEFENSE,41522,0,0,0,175,0,0,429,231,273,151,963,2460,1002,1588,1120,1409,89,3462,1954,3799,5615,14500,2302,0
EDUCATION,27887,0,0,0,0,0,0,0,0,908,1180,1444,20,3191,1590,4869,2207,82,2495,2216,109,2319,4055,1196,6
BUDGET/ECONOMY,35491.07341,0,0,0,0,15,52.66666667,967.6833333,70.16666667,779.4333333,1028.1,467.047619,28.3030303,869.384768,1276.678022,632.4032051,1206.630952,972.0277778,2585,3707.238889,3242.329762,4729.058824,9589.221751,3272.032143,0.666666667
