state,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
Alabama,,,,,,,,,,,,0.5,1,0.829225352,0.390158172,,,,,,,0.375,0,
Alaska,,,,,,,,,,,1,,,,,,,,,,,,,
Arizona,,,,,,,1,,,,,,,1,0.5,,0,0.894255875,,0.397666505,0.156435644,0.01625387,0,
Arkansas,,,,,,,,,,,,,,0.390992167,0.943181818,1,,,,,,,,
California,,,,,,,,,,,,,,,,,0.230179028,0.553846154,,,0,0.189502876,0.054332553,
Colorado,,,,,,,,,,,,0,,,0,0,,0.98048048,0.915011038,,0,0.083333333,0.258698941,0
Connecticut,,,,,,,,,,,,,,,,1,,,,,,,,
Delaware,,,,,,,,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,,,,,,0.383152174,0.331556066,0,0,0.47826087,0.176960585,0.135370205,0.135644258,0.098716858,0.045116545,0
Georgia,,,,,,,,,,,1,,,0.397282771,,,,1,0.471655329,,,1,0.995454545,
Hawaii,,,,,,,,,,,,,,,0.951612903,,,,,,,,,
Idaho,,,,,,,,,,,,,,0.5,0.737623762,,,,,,,,0,
Illinois,,,,,,1,1,,,,0,,1,0.5,0.267891221,,,,0,0,0.465575621,0.098044261,0.393424036,
Indiana,,,,,,,,,,,,0.5,0.5,0.5,0.966367713,0.449606299,0.371708051,,0.5,0.188418079,0.119939153,0.016911547,0.00805976,
Iowa,,,,0,0.76744186,0.752900232,0.905087644,1,0.827497865,0.798034565,0.92625523,0.775625745,0.432852386,1,0.870242215,1,,,,,0,0,0.100827912,
Kansas,,,,,,,,,,,,0.5,0.5,,,,,,0.323432836,0.41943128,,0,0,
Kentucky,,,,,,,,,,,,,,,0.295546559,0.5,0.924180328,0,,,,0,,
Louisiana,,,,,,,,,,,,,,0.109042553,0.422413793,,,0,,,0.392226148,0.0265625,0.316483516,0
Maine,,,,,,,,,,,,,,,,,,0.5,0.5,,0,0,0.018838305,
Maryland,,,,,,,,,,,,,,,,0,,,,,0.778481013,0.833333333,,
Massachusetts,,,,0,,,0.663232964,0.962603878,1,0.74295141,0.893823734,0.727793696,0.433705773,0.490958409,,,,,,,,,0,
Michigan,,,,,,,,,,,,,,0.5,0.661833856,1,0.75,0.5,,,0,0.50845666,0,
Minnesota,,,,,,,,,,,,,,,,,,,,,0,0.104202719,0,
Mississippi,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,,,,,,,,,,1,,,1,0.5,0.252407705,,,1,1,1,0,0.025695931,0,
Montana,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,0.469090909,,,,,,,,0.089665653,0.044562334,0.268656716,
Nevada,,,,0,,,1,,,1,1,,,0.58572711,0.998654105,1,0.381505576,0.823459716,0.38424694,0.02447788,0.034194627,0.168696993,0.289594595,
New Hampshire,,,,,,0,,0,1,1,0,,,,1,1,0,0.077147016,1,0,0.007088691,0.062724551,0,
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,,,,,,,,,,,,,,,,,,,,,,,0,
New York,,,0.5,,,,,,,,,,,,,,0,0.081378299,,,0,0.07556962,0,
North Carolina,,,,,,,,,,,,,,0.001650165,,,0.764211886,0.855263158,0.5,0.631377551,0.047666667,0.057142857,0.06126423,
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,,,,,,,0,0,0.203938115,1,1,0.833333333,1,1,0.238480478,0,0.059097421,0.47985225,0.271849907,0.046817625,0.022744503,0.247126437,0,
Oklahoma,,,,,,,,,,,,,,0.467204844,,,,,,,,,,
Oregon,,,,,,,,,,,,,,,,1,0.760869565,,,,,,,
Pennsylvania,,,,,,,1,1,1,,,,,1,1,0.556923077,0.264534884,0.269049489,0.882270169,0.173175182,0.29347432,0.062972769,0.103919507,
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,,,,,,,,,1,0.854974705,0.884940778,0.644404332,0.483870968,0.320898293,,,,,,,,,,
South Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,,,,,,,,,,,,,,0.662593985,,,,,0,0,,,,
Texas,,,,,,,,,,,,,,0.858426966,0.571428571,,,,,,0,0,0,
Utah,,,,,,,,,,,,,,,0.154632972,,,,,,,0.5,0.375666075,
Vermont,,,,,,,,,1,1,0.784431138,0.6875,0.515398551,0.451977401,,,,,,,,,0.5,0.5
Virginia,,,,,,,,,,,,,,0.5,,,,0.5,0.5,,0,0.322009569,0.150132275,
Washington,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,,,,,,1,1,0,0.004484305,0.007722008,,,1,0.179796108,0.565307944,0.132119205,0.5,,0.434859155,0.077367841,0.002668607,0.049955713,
Wyoming,,,,,,,,,,,,,,,,,,,,,,,,
