state,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
Alabama,2321700,0,0,0,0,0,0,0,0,0,0,0,500,129510,1276600,786640,0,0,0,0,0,0,2680,125770,0
Alaska,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,6223920,0,0,0,0,0,0,474680,0,0,0,0,0,0,65590,877530,0,53280,998300,0,1894790,644690,801740,413320,0
Arkansas,865310,0,0,0,0,0,0,0,0,0,0,0,0,0,740990,111560,12760,0,0,0,0,0,0,0,0
California,3396580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49570,52030,0,0,26840,2386780,881360,0
Colorado,7327190,0,0,0,0,0,0,0,0,0,0,0,13740,0,0,628790,578410,0,183440,550700,0,324840,4264640,782510,120
Connecticut,88910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88910,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,59994600,0,0,0,0,0,0,0,0,0,0,0,0,0,1746250,21272640,4100,4340,10360,6549250,3744620,6741860,11370090,8547720,3370
Georgia,5986580,0,0,0,0,0,0,0,0,0,0,1180,0,0,3756510,0,0,0,96770,1656670,0,0,309870,165580,0
Hawaii,201210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201210,0,0,0,0,0,0,0,0,0
Idaho,172880,0,0,0,0,0,0,0,0,0,0,0,0,0,56640,116170,0,0,0,0,0,0,0,70,0
Illinois,15288660,0,0,0,0,0,2090,1120850,0,0,0,9620,0,264530,178970,9370860,0,0,0,38280,600620,235930,2428370,1038540,0
Indiana,26403640,0,0,0,0,0,0,0,0,0,0,0,1340,67930,198970,712530,5373520,1193040,0,326600,1813070,3379660,8559030,4777950,0
Iowa,26285140,0,0,0,60040,62820,418990,2156090,254020,3722180,2618870,1828010,3301840,6520920,282880,503220,179330,0,0,0,0,145340,1854890,2375700,0
