state,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
Alabama,2337,0,0,0,0,0,0,0,0,0,0,0,1,155,1420,569,0,0,0,0,0,0,4,188,0
Alaska,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,5126,0,0,0,0,0,0,429,0,0,0,0,0,0,56,438,0,65,766,0,2057,505,646,164,0
Arkansas,867,0,0,0,0,0,0,0,0,0,0,0,0,0,766,88,13,0,0,0,0,0,0,0,0
California,8008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,390,0,0,224,4868,2135,0
Colorado,7807,0,0,0,0,0,0,0,0,0,0,0,10,0,0,495,499,0,333,1359,0,434,4014,661,2
Connecticut,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,50971,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,12191,1,1,23,4922,4484,7140,14106,6993,6
Georgia,4829,0,0,0,0,0,0,0,0,0,0,1,0,0,3349,0,0,0,35,882,0,0,342,220,0
Hawaii,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0
Idaho,323,0,0,0,0,0,0,0,0,0,0,0,0,0,120,202,0,0,0,0,0,0,0,1,0
Illinois,10969,0,0,0,0,0,24,404,0,0,0,1,0,328,379,4192,0,0,0,132,2239,886,1943,441,0
Indiana,30692,0,0,0,0,0,0,0,0,0,0,0,1,65,181,446,5080,1329,0,549,3540,4273,10141,5087,0
Iowa,30806,0,0,0,193,129,2586,2339,210,2342,2951,1912,3356,8109,35,578,269,0,0,0,0,616,3490,1691,0
Kansas,3942,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3350,211,0,94,285,0
Kentucky,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,165,244,1,0,0,0,595,0,0
Louisiana,4665,0,0,0,0,0,0,0,0,0,0,0,0,0,188,116,0,0,278,0,0,283,1920,1365,515
Maine,3178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,132,0,669,1724,637,0
Maryland,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,316,81,0,0
Massachusetts,11466,0,0,0,25,0,0,631,361,1105,1667,1441,2443,2685,1106,0,0,0,0,0,0,0,0,2,0
Michigan,2990,0,0,0,0,0,0,0,0,0,0,0,0,0,178,1276,5,4,1,0,0,317,946,263,0
Minnesota,6060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,4045,1187,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,12321,0,0,0,0,0,0,0,0,0,333,0,0,308,59,1246,0,0,920,152,453,2211,4670,1969,0
Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,4615,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,1316,1885,1139,0
Nevada,37996,0,0,0,128,0,0,667,0,0,253,271,0,0,1114,743,431,1076,2532,1879,4453,7779,12970,3700,0
New Hampshire,11167,0,0,0,0,0,140,0,77,54,241,2,0,0,0,410,6,367,1374,595,891,3033,3340,637,0
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
New York,7900,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,126,1364,0,0,578,3950,1878,0
North Carolina,15902,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,0,774,190,406,1568,3000,6020,3338,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,34392,0,0,0,0,0,0,238,745,711,232,333,3,380,523,2843,464,2792,5956,6476,6536,2638,2784,738,0
Oklahoma,991,0,0,0,0,0,0,0,0,0,0,0,0,0,991,0,0,0,0,0,0,0,0,0,0
Oregon,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,69,0,0,0,0,0,0,0
Pennsylvania,44344,0,0,0,0,0,0,265,855,348,0,0,0,0,581,424,325,688,5092,2132,5480,8275,13220,6659,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,5396,0,0,0,0,0,0,0,0,187,593,591,277,1054,2694,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,0,0,0,0,9,36,0,0,0,0
Texas,4466,0,0,0,0,0,0,0,0,0,0,0,0,0,1335,7,0,0,0,0,0,339,2342,443,0
Utah,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,0,0,0,0,0,0,86,563,0
Vermont,3099,0,0,0,0,0,0,0,0,98,191,501,280,1104,885,0,0,0,0,0,0,0,0,39,1
Virginia,5448,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,13,381,0,159,3135,1512,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,23366,0,0,0,0,0,0,456,150,488,223,518,0,0,76,1079,3361,1510,441,0,1420,1816,6183,5645,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
